,x,x_labels
0,male,1
1,female,0
2,male,1
3,female,0
4,male,1
5,male,1
6,male,1
7,female,0
8,male,1
9,male,1
10,male,1
11,male,1
12,male,1
13,male,1
14,female,0
15,female,0
16,female,0
17,female,0
18,female,0
19,male,1
20,female,0
21,female,0
22,male,1
23,male,1
24,male,1
25,male,1
26,male,1
27,male,1
28,male,1
29,male,1
30,male,1
31,male,1
32,male,1
33,female,0
34,male,1
35,male,1
36,male,1
37,male,1
38,male,1
39,male,1
40,female,0
41,male,1
42,female,0
43,male,1
44,female,0
45,male,1
46,male,1
47,female,0
48,female,0
49,male,1
50,male,1
51,female,0
52,male,1
53,female,0
54,male,1
55,male,1
56,male,1
57,male,1
58,male,1
59,male,1
60,male,1
61,male,1
62,male,1
63,male,1
64,female,0
65,female,0
66,female,0
67,male,1
68,female,0
69,male,1
70,female,0
71,male,1
72,male,1
73,male,1
74,male,1
75,male,1
76,male,1
77,male,1
78,male,1
79,male,1
80,male,1
81,male,1
82,male,1
83,male,1
84,female,0
85,male,1
86,female,0
87,male,1
88,male,1
89,male,1
90,female,0
91,male,1
92,male,1
93,male,1
94,male,1
95,male,1
96,female,0
97,male,1
98,male,1
99,female,0
100,male,1
101,male,1
102,female,0
103,male,1
104,male,1
105,female,0
106,male,1
107,male,1
108,female,0
109,male,1
110,male,1
111,male,1
112,male,1
113,female,0
114,male,1
115,male,1
116,male,1
117,female,0
118,male,1
119,male,1
120,female,0
121,male,1
122,male,1
123,male,1
124,male,1
125,male,1
126,male,1
127,male,1
128,female,0
129,female,0
130,male,1
131,female,0
132,male,1
133,male,1
134,male,1
135,male,1
136,male,1
137,male,1
138,female,0
139,male,1
140,male,1
141,male,1
142,female,0
143,female,0
144,female,0
145,male,1
146,male,1
147,male,1
148,female,0
149,female,0
150,male,1
151,female,0
152,male,1
153,male,1
154,male,1
155,male,1
156,female,0
157,male,1
158,male,1
159,female,0
160,male,1
161,male,1
162,female,0
163,female,0
164,male,1
165,female,0
166,male,1
167,male,1
168,male,1
169,male,1
170,male,1
171,male,1
172,male,1
173,male,1
174,female,0
175,male,1
176,male,1
177,male,1
178,male,1
179,male,1
180,female,0
181,male,1
182,male,1
183,male,1
184,male,1
185,male,1
186,male,1
187,male,1
188,female,0
189,male,1
190,male,1
191,female,0
192,male,1
193,male,1
194,male,1
195,male,1
196,male,1
197,female,0
198,female,0
199,male,1
200,male,1
201,male,1
202,male,1
203,male,1
204,female,0
205,male,1
206,male,1
207,male,1
208,male,1
209,male,1
210,male,1
211,male,1
212,male,1
213,female,0
214,male,1
215,female,0
216,female,0
217,male,1
218,female,0
219,male,1
220,male,1
221,male,1
222,male,1
223,male,1
224,male,1
225,male,1
226,female,0
227,female,0
228,male,1
229,female,0
230,male,1
231,male,1
232,female,0
233,male,1
234,male,1
235,male,1
236,male,1
237,male,1
238,male,1
239,male,1
240,female,0
241,male,1
242,male,1
243,male,1
244,male,1
245,female,0
246,male,1
247,male,1
248,male,1
249,male,1
250,male,1
251,female,0
252,male,1
253,female,0
254,male,1
255,female,0
256,male,1
257,male,1
258,male,1
259,male,1
260,male,1
261,female,0
262,male,1
263,male,1
264,male,1
265,male,1
266,male,1
267,male,1
268,male,1
269,female,0
270,male,1
271,male,1
272,female,0
273,female,0
274,female,0
275,female,0
276,male,1
277,male,1
278,male,1
279,male,1
280,male,1
281,male,1
282,male,1
283,male,1
284,male,1
285,male,1
286,female,0
287,male,1
288,female,0
289,male,1
290,male,1
291,male,1
292,male,1
293,male,1
294,male,1
295,male,1
296,male,1
297,male,1
298,male,1
299,male,1
300,female,0
301,male,1
302,male,1
303,male,1
304,male,1
305,male,1
306,male,1
307,female,0
308,male,1
309,male,1
310,female,0
311,male,1
312,male,1
313,male,1
314,female,0
315,male,1
316,male,1
317,male,1
318,male,1
319,female,0
320,female,0
321,male,1
322,female,0
323,male,1
324,male,1
325,male,1
326,female,0
327,male,1
328,female,0
329,male,1
330,female,0
331,male,1
332,male,1
333,female,0
334,female,0
335,male,1
336,female,0
